#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
RXN-92	EC-2.4.1
RXN-15402	EC-2.1.1
RXN-11887	EC-1.14.19.20
ARGININE-DEIMINASE-RXN	EC-3.5.3.6
RXN-8364	EC-1.14.19.35
RXN-1102	EC-1.1.1.195
RXN-14024	EC-3.6.1.5
3.2.1.65-RXN	EC-3.2.1.65
3.1.4.10-RXN	EC-4.6.1.13
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
1.14.11.2-RXN	EC-1.14.11.2
RXN-743	EC-2.4.1.85
RXN-13644	
RXN-5286	EC-1.3.1.75
1.1.1.255-RXN	EC-1.1.1.255
RXN-7674	EC-2.5.1.62
PRODISULFREDUCT-A-RXN	EC-1.8.4
GCVP-RXN	EC-1.4.4.2
RXNQT-4191	EC-3.1.3.100
RXN66-27	EC-1.3.1.21
RXN-9752	EC-2.4.1
RXN-8137	EC-4.99.1
RXN-11258	
RXN-3221	EC-5.5.1.6
CONIFERIN-BETA-GLUCOSIDASE-RXN	EC-3.2.1.126
RXN-11946	EC-1.14.13
RXN-12240	
1.6.5.4-RXN	EC-1.6.5.4
RXN0-1021	EC-3.6.5.1
RXN-7282	
1.8.1.4-RXN	EC-1.8.1.4
RXN-2002	EC-4.2.1
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-12419	EC-2.4.1.168
RXN0-882	EC-1.17.7.1
RXN-16461	
RXN-5101	EC-4.2.3.111
RXNQT-1	EC-6.2.1
RXN-5004	EC-2.4.1.236
RXN-11259	
TRANS-RXN0-492	
3.1.3.77-RXN	EC-3.1.3.77
RXN-111	EC-5.4.99.41
RXN-1382	EC-2.7.8.29
UREASE-RXN	EC-3.5.1.5
RXN-7570	EC-5.4.99.39
RXN-8678	EC-1.23.1.1
RXN-12625	EC-3.2.1.52
2.5.1.32-RXN	
RXN-8533	
RXN-13197	EC-2.7.1.151
